time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_av	arrivals_av	stuck_av	en-route_av
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	195	20	0	175	195	20	0	175
03:05:00	11100	73	66	0	182	73	66	0	182
03:10:00	11400	58	79	0	161	58	79	0	161
03:15:00	11700	49	61	0	149	49	61	0	149
03:20:00	12000	56	65	0	140	56	65	0	140
03:25:00	12300	50	53	0	137	50	53	0	137
03:30:00	12600	48	55	0	130	48	55	0	130
03:35:00	12900	34	54	0	110	34	54	0	110
03:40:00	13200	29	46	0	93	29	46	0	93
03:45:00	13500	51	37	0	107	51	37	0	107
03:50:00	13800	32	29	0	110	32	29	0	110
03:55:00	14100	31	34	0	107	31	34	0	107
04:00:00	14400	31	47	0	91	31	47	0	91
04:05:00	14700	28	35	0	84	28	35	0	84
04:10:00	15000	31	35	0	80	31	35	0	80
04:15:00	15300	34	21	0	93	34	21	0	93
04:20:00	15600	22	27	0	88	22	27	0	88
04:25:00	15900	39	28	0	99	39	28	0	99
04:30:00	16200	25	27	0	97	25	27	0	97
04:35:00	16500	24	20	0	101	24	20	0	101
04:40:00	16800	38	28	0	111	38	28	0	111
04:45:00	17100	35	23	0	123	35	23	0	123
04:50:00	17400	27	28	0	122	27	28	0	122
04:55:00	17700	28	30	0	120	28	30	0	120
05:00:00	18000	31	21	0	130	31	21	0	130
05:05:00	18300	16	23	0	123	16	23	0	123
05:10:00	18600	34	33	0	124	34	33	0	124
05:15:00	18900	17	25	0	116	17	25	0	116
05:20:00	19200	19	20	0	115	19	20	0	115
05:25:00	19500	24	20	0	119	24	20	0	119
05:30:00	19800	22	21	0	120	22	21	0	120
05:35:00	20100	25	25	0	120	25	25	0	120
05:40:00	20400	31	32	0	119	31	32	0	119
05:45:00	20700	28	20	0	127	28	20	0	127
05:50:00	21000	32	33	0	126	32	33	0	126
05:55:00	21300	26	17	0	135	26	17	0	135
06:00:00	21600	24	31	0	128	24	31	0	128
06:05:00	21900	22	27	0	123	22	27	0	123
06:10:00	22200	29	26	0	126	29	26	0	126
06:15:00	22500	18	25	0	119	18	25	0	119
06:20:00	22800	32	23	0	128	32	23	0	128
06:25:00	23100	38	24	0	142	38	24	0	142
06:30:00	23400	37	27	0	152	37	27	0	152
06:35:00	23700	31	27	0	156	31	27	0	156
06:40:00	24000	37	28	0	165	37	28	0	165
06:45:00	24300	25	23	0	167	25	23	0	167
06:50:00	24600	46	36	0	177	46	36	0	177
06:55:00	24900	41	31	0	187	41	31	0	187
07:00:00	25200	30	35	0	182	30	35	0	182
07:05:00	25500	35	42	0	175	35	42	0	175
07:10:00	25800	43	33	0	185	43	33	0	185
07:15:00	26100	38	44	0	179	38	44	0	179
07:20:00	26400	31	39	0	171	31	39	0	171
07:25:00	26700	40	33	0	178	40	33	0	178
07:30:00	27000	40	32	0	186	40	32	0	186
07:35:00	27300	38	37	0	187	38	37	0	187
07:40:00	27600	47	30	0	204	47	30	0	204
07:45:00	27900	51	41	0	214	51	41	0	214
07:50:00	28200	44	36	0	222	44	36	0	222
07:55:00	28500	44	39	0	227	44	39	0	227
08:00:00	28800	44	65	0	206	44	65	0	206
08:05:00	29100	46	65	0	187	46	65	0	187
08:10:00	29400	55	45	0	197	55	45	0	197
08:15:00	29700	47	37	0	207	47	37	0	207
08:20:00	30000	52	48	0	211	52	48	0	211
08:25:00	30300	58	48	0	221	58	48	0	221
08:30:00	30600	57	41	0	237	57	41	0	237
08:35:00	30900	74	53	0	258	74	53	0	258
08:40:00	31200	74	41	0	291	74	41	0	291
08:45:00	31500	54	46	0	299	54	46	0	299
08:50:00	31800	73	55	0	317	73	55	0	317
08:55:00	32100	63	53	0	327	63	53	0	327
09:00:00	32400	57	70	0	314	57	70	0	314
09:05:00	32700	48	43	0	319	48	43	0	319
09:10:00	33000	49	61	0	307	49	61	0	307
09:15:00	33300	60	49	0	318	60	49	0	318
09:20:00	33600	50	48	0	320	50	48	0	320
09:25:00	33900	75	61	0	334	75	61	0	334
09:30:00	34200	66	61	0	339	66	61	0	339
